Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,10000,5006,4994,50.06,49.94,10000,0,0,0,14.52,10,19
1,9580,5006,4994,52.25,52.13,9580,234,0,420,15.53,11,20
2,10264,5536,5514,53.94,53.72,9214,440,1050,366,14.85,0,21
3,11778,6564,6504,55.73,55.22,8799,421,2018,504,13.19,0,22
4,13073,7504,7443,57.40,56.93,8458,378,1879,584,12.28,0,23
5,14049,8368,8285,59.56,58.97,8107,566,1706,730,11.82,0,24
6,15746,9710,9495,61.67,60.30,7756,767,2552,855,10.92,0,25
7,18186,11418,11215,62.78,61.67,7868,1019,3428,988,9.85,0,26
8,21520,13703,13507,63.68,62.76,8487,1393,4577,1243,8.71,0,27
9,26288,16846,16562,64.08,63.00,9209,1721,6198,1430,7.57,0,28
10,32115,20725,20396,64.53,63.51,9822,2018,7713,1886,6.64,0,29
11,38811,25250,24999,65.06,64.41,10736,2431,9128,2432,5.98,0,30
12,46829,30812,30368,65.80,64.85,11987,2995,10931,2913,5.45,0,31
13,56624,37537,37107,66.29,65.53,13814,3277,13464,3669,5.01,0,32
14,66890,44928,44485,67.17,66.50,16327,3733,14769,4503,4.76,0,33
15,78249,53354,52799,68.18,67.48,19530,4597,16740,5381,4.60,0,34
16,92730,63681,63223,68.67,68.18,23579,5559,20751,6270,4.41,0,35
17,110217,76227,75703,69.16,68.69,28169,6627,25026,7539,4.23,0,36
18,131072,91104,90750,69.51,69.24,33665,7814,29924,9069,4.08,0,37
19,155258,108634,108095,69.97,69.62,39673,9224,34875,10689,3.98,0,38
20,183887,129336,128877,70.33,70.08,46493,10701,41484,12855,3.88,0,39
21,217082,153620,152944,70.77,70.45,54809,12637,48351,15156,3.83,0,40
22,255986,182058,181385,71.12,70.86,64680,14848,56879,17975,3.77,0,41
23,301465,215492,214624,71.48,71.19,76524,17688,66673,21194,3.73,0,42
24,355790,255196,254486,71.73,71.53,90665,20818,79566,25241,3.69,0,43
25,420004,302089,301369,71.93,71.75,107534,25077,93776,29562,3.65,0,44
26,498588,358951,357970,71.99,71.80,126725,29428,113463,34879,3.60,0,45
27,589399,425037,424301,72.11,71.99,149236,34490,132417,41606,3.58,0,46
28,695628,502284,502261,72.21,72.20,175609,40679,155207,48978,3.56,0,47
29,820805,593776,593949,72.34,72.36,206981,47924,183180,58003,3.55,0,48
