Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,10000,4954,5046,49.54,50.46,10000,0,0,0,14.47,10,19
1,9593,4954,5046,51.64,52.60,9593,243,0,407,15.48,11,20
2,10287,5542,5555,53.87,54.00,9190,442,1097,403,14.71,0,21
3,11773,6554,6563,55.67,55.75,8749,421,2020,534,13.07,0,22
4,13044,7503,7529,57.52,57.72,8348,396,1915,644,12.11,0,23
5,14072,8393,8404,59.64,59.72,8001,559,1765,737,11.62,0,24
6,15753,9622,9678,61.08,61.44,7689,751,2503,822,10.80,0,25
7,18078,11258,11371,62.27,62.90,7825,970,3329,1004,9.80,0,26
8,21207,13432,13532,63.34,63.81,8512,1333,4335,1206,8.77,0,27
9,25724,16422,16527,63.84,64.25,9206,1771,5985,1468,7.66,0,28
10,31845,20430,20511,64.15,64.41,9849,2048,7992,1871,6.63,0,29
11,38774,25123,25084,64.79,64.69,10765,2402,9266,2337,5.94,0,30
12,46433,30510,30430,65.71,65.54,11921,2835,10733,3074,5.44,0,31
13,55719,36907,36872,66.24,66.17,13541,3151,12839,3553,5.04,0,32
14,65383,44151,43818,67.53,67.02,15964,3547,14190,4526,4.81,0,33
15,76254,52165,51763,68.41,67.88,19312,4384,15959,5088,4.66,0,34
16,89898,62034,61595,69.00,68.52,23387,5451,19701,6057,4.49,0,35
17,107019,74278,73812,69.41,68.97,27870,6454,24461,7340,4.28,0,36
18,127366,88701,88454,69.64,69.45,33201,7784,29065,8718,4.12,0,37
19,151740,106139,105941,69.95,69.82,38904,9088,34925,10551,3.98,0,38
20,180141,126613,126251,70.29,70.08,45359,10412,40784,12383,3.88,0,39
21,212164,150019,149756,70.71,70.59,53113,12177,46911,14888,3.83,0,40
22,249465,177180,177387,71.02,71.11,62871,14413,54792,17491,3.79,0,41
23,293607,209681,209683,71.42,71.42,74803,17206,64797,20655,3.76,0,42
24,346590,248343,248419,71.65,71.68,88797,20548,77398,24415,3.71,0,43
25,410146,294642,294788,71.84,71.87,105252,24190,92668,29112,3.66,0,44
26,485128,349306,349245,72.00,71.99,123953,28837,109121,34139,3.62,0,45
27,574271,413954,413923,72.08,72.08,145667,33719,129326,40183,3.59,0,46
28,677630,489898,489424,72.30,72.23,171117,39356,151445,48086,3.57,0,47
29,798673,578450,578402,72.43,72.42,201957,46844,177530,56487,3.56,0,48
