Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,3,3,0,100.00,0.00,3,0,0,0,15.33,10,19
1,3,3,0,100.00,0.00,3,0,0,0,16.33,11,20
2,3,3,0,100.00,0.00,3,1,0,0,17.33,12,21
3,8,8,0,100.00,0.00,3,0,5,0,6.88,0,22
4,7,8,0,114.29,0.00,3,1,0,1,8.86,1,23
5,10,10,1,100.00,10.00,3,1,3,0,6.90,0,24
6,12,13,2,108.33,16.67,2,1,4,2,4.25,0,23
7,15,14,6,93.33,40.00,2,1,5,2,4.00,0,24
8,18,16,7,88.89,38.89,4,4,3,0,4.17,0,25
9,33,22,16,66.67,48.48,5,3,15,0,2.82,0,26
10,46,29,26,63.04,56.52,6,4,17,4,2.61,0,27
11,60,38,36,63.33,60.00,7,3,19,5,2.57,0,28
12,64,45,39,70.31,60.94,12,5,10,6,3.12,0,29
13,79,57,50,72.15,63.29,10,2,23,8,2.35,0,10
14,79,62,52,78.48,65.82,12,5,7,7,2.95,0,11
15,93,72,66,77.42,70.97,16,4,24,10,2.94,0,12
16,101,77,74,76.24,73.27,29,7,13,5,3.49,0,13
17,119,93,89,78.15,74.79,33,7,31,13,3.46,0,14
18,138,109,106,78.99,76.81,39,8,33,14,3.39,0,15
19,162,131,117,80.86,72.22,46,13,33,9,3.51,0,16
20,206,161,148,78.16,71.84,54,9,61,17,3.15,0,17
21,227,181,171,79.74,75.33,56,12,43,22,3.42,0,18
22,268,202,207,75.37,77.24,68,14,57,16,3.56,0,19
23,314,232,243,73.89,77.39,79,19,66,20,3.60,0,20
24,377,280,277,74.27,73.47,101,20,82,19,3.66,0,21
25,434,323,329,74.42,75.81,124,31,95,38,3.68,0,22
26,536,398,395,74.25,73.69,141,29,141,39,3.46,0,23
27,625,456,469,72.96,75.04,168,36,132,43,3.54,0,24
28,717,528,559,73.64,77.96,190,29,162,70,3.59,0,25
29,776,594,619,76.55,79.77,218,42,126,67,3.84,0,26
30,911,679,729,74.53,80.02,256,52,195,60,3.83,0,27
31,1065,792,840,74.37,78.87,304,55,224,70,3.77,0,28
32,1245,919,971,73.82,77.99,357,82,258,78,3.79,0,29
33,1513,1104,1167,72.97,77.13,414,89,381,113,3.54,0,30
34,1797,1303,1382,72.51,76.91,451,94,414,130,3.46,0,28
35,2080,1520,1586,73.08,76.25,504,100,421,138,3.50,0,29
36,2345,1763,1798,75.18,76.67,608,145,455,190,3.63,0,30
37,2802,2101,2132,74.98,76.09,716,157,672,215,3.53,0,31
38,3254,2469,2472,75.88,75.97,859,206,708,256,3.50,0,31
39,3931,2909,2966,74.00,75.45,1034,231,934,257,3.44,0,32
40,4699,3426,3511,72.91,74.72,1216,248,1062,294,3.45,0,33
41,5430,3999,4041,73.65,74.42,1391,327,1103,372,3.53,0,34
42,6468,4747,4763,73.39,73.64,1650,383,1470,432,3.52,0,35
43,7644,5618,5615,73.50,73.46,1932,427,1723,547,3.53,0,36
44,8968,6600,6595,73.60,73.54,2335,520,1962,638,3.53,0,37
45,10607,7798,7774,73.52,73.29,2741,591,2377,738,3.49,0,38
46,12367,9102,9136,73.60,73.87,3140,744,2666,906,3.52,0,39
47,14727,10749,10913,72.99,74.10,3692,890,3424,1064,3.46,0,40
48,17452,12712,12905,72.84,73.95,4412,1006,3955,1230,3.46,0,41
49,20472,15000,15141,73.27,73.96,5242,1266,4524,1504,3.48,0,42
50,24427,17908,17931,73.31,73.41,6125,1460,5698,1743,3.44,0,43
51,29057,21178,21252,72.88,73.14,7190,1637,6591,1961,3.43,0,44
52,33981,24923,24897,73.34,73.27,8496,1957,7390,2466,3.46,0,45
53,39963,29375,29233,73.51,73.15,10106,2305,8788,2806,3.49,0,46
54,46953,34508,34454,73.49,73.38,11859,2755,10354,3364,3.49,0,47
55,55416,40725,40639,73.49,73.33,14186,3294,12402,3939,3.49,0,48
56,65541,48192,47973,73.53,73.20,16811,3894,14801,4676,3.48,0,49
57,77673,56881,56870,73.23,73.22,19703,4614,17586,5454,3.47,0,50
58,91956,67293,67281,73.18,73.17,23141,5462,20823,6540,3.46,0,51
59,108624,79655,79419,73.33,73.11,27219,6336,24500,7832,3.45,0,52
60,128218,93925,93735,73.25,73.11,32058,7445,28586,8992,3.45,0,53
61,150805,110765,110483,73.45,73.26,37761,8818,33588,11001,3.46,0,54
62,178088,130769,130328,73.43,73.18,44787,10457,39849,12566,3.47,0,55
63,210173,154212,153806,73.37,73.18,53302,12453,46921,14836,3.47,0,56
64,248279,182021,181892,73.31,73.26,63022,14669,55895,17789,3.47,0,57
65,293639,215055,214935,73.24,73.20,74418,17414,66077,20717,3.47,0,58
66,347350,254218,254073,73.19,73.15,87796,20603,78301,24590,3.46,0,59
67,410953,300619,300282,73.15,73.07,103444,24092,92610,29007,3.45,0,60
68,485158,355139,354297,73.20,73.03,121779,28403,108535,34330,3.46,0,61
69,572555,418881,418368,73.16,73.07,144122,33537,127813,40416,3.46,0,62
70,675400,493887,494080,73.13,73.15,170636,39816,150718,47873,3.47,0,63
71,798534,583407,583928,73.06,73.12,201725,47031,179368,56234,3.46,0,64
72,943298,689107,689712,73.05,73.12,238546,55677,211484,66720,3.46,0,65
73,1114428,814249,815074,73.06,73.14,281558,65821,250504,79374,3.46,0,66
74,1317185,962605,963156,73.08,73.12,332123,77497,296438,93681,3.45,0,67
75,1555268,1137289,1136906,73.12,73.10,391733,91525,348434,110351,3.46,0,68
76,1837482,1343669,1342898,73.13,73.08,462691,107517,412372,130158,3.46,0,65
77,2166675,1585576,1584432,73.18,73.13,546498,127236,483441,154248,3.46,0,66
78,2557670,1871235,1871214,73.16,73.16,645650,150585,572441,181446,3.46,0,67
79,3020643,2209037,2210387,73.13,73.18,763383,178460,676975,214002,3.46,0,68
