# Rabbit Simulation Summary
# Initial Population: 3
# Months Simulated: 80
# Number of Simulations: 5
# Base Seed: 3476385723648726
#
Sim_Number,Final_Alive,Total_Dead,Final_Males,Final_Females,Male_Pct,Female_Pct,Peak_Pop,Peak_Month,Min_Pop,Min_Month,Extinction_Month,Months_Simulated
1,3570428,1651329,2609792,2611965,73.09,73.16,3020643,79,3,0,0,80
2,0,3,2,1,0.00,0.00,3,0,1,12,22,22
3,2844952,1319241,2083044,2081149,73.22,73.15,2411459,79,3,0,0,80
4,0,3,0,3,0.00,0.00,3,0,1,10,22,22
5,0,3,1,2,0.00,0.00,3,0,1,22,34,34
