Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
37,2247,1645,1633,73.21,72.67,606,165,544,160,3.53,0,30
38,2794,2009,2008,71.90,71.87,693,160,739,192,3.32,0,31
39,3271,2365,2364,72.30,72.27,801,201,712,235,3.40,0,32
40,3899,2827,2804,72.51,71.92,934,198,902,274,3.41,0,33
41,4447,3267,3246,73.47,72.99,1087,235,882,334,3.53,0,34
42,5159,3792,3780,73.50,73.27,1307,316,1059,347,3.61,0,35
43,6098,4488,4493,73.60,73.68,1600,370,1409,470,3.54,0,36
44,7231,5335,5309,73.78,73.42,1878,426,1663,530,3.50,0,32
45,8568,6348,6241,74.09,72.84,2264,508,1945,608,3.49,0,33
46,10199,7537,7368,73.90,72.24,2626,600,2316,685,3.48,0,34
47,12025,8882,8724,73.86,72.55,3034,655,2701,875,3.47,0,35
48,13960,10370,10203,74.28,73.09,3512,761,2967,1032,3.50,0,36
49,16212,12085,11932,74.54,73.60,4142,957,3444,1192,3.55,0,37
50,19207,14251,14098,74.20,73.40,4987,1149,4332,1337,3.53,0,38
51,22762,16848,16645,74.02,73.13,5891,1362,5144,1589,3.52,0,39
52,26922,19924,19674,74.01,73.08,6997,1699,6105,1945,3.49,0,37
53,32365,23762,23524,73.42,72.68,8166,1908,7688,2245,3.43,0,38
54,38189,28000,27870,73.32,72.98,9466,2209,8584,2760,3.44,0,39
55,44896,32985,32835,73.47,73.14,11085,2566,9950,3243,3.45,0,40
56,52890,38849,38616,73.45,73.01,13178,3050,11645,3651,3.47,0,41
57,62165,45776,45459,73.64,73.13,15584,3624,13770,4495,3.48,0,42
58,73389,53911,53740,73.46,73.23,18508,4221,16416,5192,3.47,0,43
59,86179,63425,63243,73.60,73.39,22094,5121,19017,6227,3.49,0,44
60,101953,74879,74783,73.44,73.35,26055,6001,22994,7220,3.48,0,44
61,120754,88525,88364,73.31,73.18,30760,7146,27227,8426,3.47,0,45
62,142896,104475,104675,73.11,73.25,36153,8524,32261,10119,3.46,0,46
63,169355,123652,123907,73.01,73.16,42735,9898,38409,11950,3.45,0,47
64,199475,145944,146102,73.16,73.24,50001,11726,44487,14367,3.46,0,48
65,235639,172457,172499,73.19,73.20,58987,13739,52910,16746,3.45,0,49
66,277802,203381,203502,73.21,73.25,69735,16239,61927,19764,3.46,0,50
67,327513,239845,240069,73.23,73.30,82595,19298,73031,23320,3.47,0,51
68,386838,283278,283300,73.23,73.23,97932,22860,86664,27339,3.47,0,52
69,457547,334892,334687,73.19,73.15,115568,26818,103001,32292,3.46,0,53
70,540005,395409,394943,73.22,73.14,136687,31796,120773,38315,3.46,0,49
71,638120,466959,466379,73.18,73.09,161620,37570,142986,44871,3.46,0,50
72,753534,551285,550919,73.16,73.11,190335,44130,168866,53452,3.47,0,51
73,889045,650762,649929,73.20,73.10,224938,52042,198487,62976,3.47,0,49
74,1048975,767957,767025,73.21,73.12,266310,62166,234291,74361,3.47,0,50
75,1240692,908203,906427,73.20,73.06,313918,72833,279648,87931,3.47,0,51
76,1465117,1071907,1070814,73.16,73.09,370095,86213,328091,103666,3.46,0,52
77,1730402,1266053,1264921,73.17,73.10,436692,101597,388253,122968,3.46,0,53
78,2041374,1494357,1492989,73.20,73.14,515841,120205,456372,145400,3.47,0,54
79,2411459,1765210,1763463,73.20,73.13,608352,141410,541327,171242,3.46,0,55
