Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,3,1,2,33.33,66.67,3,0,0,0,15.00,11,19
1,3,1,2,33.33,66.67,3,1,0,0,16.00,12,20
2,9,4,5,44.44,55.56,3,1,6,0,5.67,0,21
3,12,6,6,50.00,50.00,3,0,3,0,5.00,0,22
4,11,6,6,54.55,54.55,3,0,0,1,6.36,1,23
5,9,6,6,66.67,66.67,3,0,0,2,8.33,2,24
6,9,6,6,66.67,66.67,3,1,0,0,9.33,3,25
7,12,9,7,75.00,58.33,5,1,4,1,7.42,0,26
8,14,12,8,85.71,57.14,4,1,4,2,5.14,0,27
9,16,13,10,81.25,62.50,5,1,3,1,5.25,0,28
10,20,16,13,80.00,65.00,6,2,6,2,4.75,0,29
11,27,21,16,77.78,59.26,6,1,8,1,4.11,0,30
12,32,24,18,75.00,56.25,6,1,5,0,4.31,0,31
13,30,27,18,90.00,60.00,6,1,3,5,5.20,0,32
14,33,27,22,81.82,66.67,10,2,4,1,5.55,0,33
15,37,31,27,83.78,72.97,14,3,9,5,5.27,0,34
16,47,38,32,80.85,68.09,18,5,12,2,4.79,0,35
17,65,45,45,69.23,69.23,20,6,20,2,4.14,0,36
18,90,58,59,64.44,65.56,21,7,27,2,3.69,0,37
19,111,73,72,65.77,64.86,23,8,28,7,3.50,0,38
20,141,93,90,65.96,63.83,26,6,38,8,3.35,0,39
21,157,103,109,65.61,69.43,30,12,29,13,3.55,0,40
22,205,132,139,64.39,67.80,43,12,59,11,3.26,0,41
23,251,161,168,64.14,66.93,57,10,58,12,3.35,0,42
24,277,179,197,64.62,71.12,73,15,47,21,3.70,0,43
25,328,210,236,64.02,71.95,88,21,70,19,3.62,0,44
26,384,254,276,66.15,71.88,98,17,84,28,3.59,0,45
27,436,289,321,66.28,73.62,121,23,80,28,3.79,0,46
28,516,342,381,66.28,73.84,154,35,113,33,3.75,0,47
29,625,421,461,67.36,73.76,165,38,159,50,3.56,0,48
30,749,518,540,69.16,72.10,185,42,176,52,3.44,0,49
31,882,608,642,68.93,72.79,223,48,192,59,3.47,0,50
32,1013,730,742,72.06,73.25,247,55,222,91,3.50,0,51
33,1178,854,852,72.50,72.33,294,62,234,69,3.62,0,26
34,1381,990,1000,71.69,72.41,362,76,284,81,3.69,0,27
35,1588,1160,1156,73.05,72.80,430,93,326,119,3.72,0,28
36,1863,1364,1370,73.22,73.54,526,118,418,143,3.69,0,29
